1 (D=148),0.0878,2 (D=519),0.3264,3 (D=12),0.0142,4 (D=126),0.1378,5 (D=50),0.0305,6 (D=17),0.0085,7 (D=163),0.1603,8 (D=83),0.0468,9 (D=63),0.0303,10 (D=251),0.0836,11 (D=36),0.0206,12 (D=37),0.0197,13 (D=60),0.0206,14 (D=22),0.0129,
309,0.0035,324,0.0030,101,0.0062,223,0.0022,1001,0.0045,945,0.0052,1483,0.0084,402,0.0065,2895,0.0055,402,0.0048,2655,0.0055,5278,0.0052,2514,0.0043,4153,0.0229,
343,0.0035,371,0.0030,193,0.0062,475,0.0022,2348,0.0045,1931,0.0052,5129,0.0084,3860,0.0063,2888,0.0052,2066,0.0048,606,0.0053,309,0.0050,2557,0.0043,4532,0.0229,
3602,0.0033,318,0.0030,272,0.0062,84,0.0021,2833,0.0044,402,0.0046,5173,0.0084,618,0.0062,344,0.0050,252,0.0044,3213,0.0053,1049,0.0050,65,0.0041,5654,0.0229,
635,0.0032,344,0.0030,301,0.0062,102,0.0021,291,0.0042,1198,0.0046,819,0.0083,344,0.0061,127,0.0047,343,0.0043,1575,0.0050,158,0.0047,474,0.0041,8667,0.0229,
1265,0.0032,3453,0.0029,46,0.0059,311,0.0021,290,0.0040,1380,0.0046,182,0.0060,3871,0.0057,311,0.0047,692,0.0043,899,0.0048,1178,0.0047,953,0.0041,10660,0.0229,
1016,0.0031,121,0.0029,55,0.0059,2803,0.0021,3167,0.0040,1658,0.0046,76,0.0050,101,0.0056,2832,0.0047,1052,0.0041,6789,0.0048,4106,0.0047,1831,0.0041,14332,0.0229,
379,0.0030,387,0.0026,81,0.0059,3630,0.0020,534,0.0039,1830,0.0046,874,0.0044,10,0.0055,518,0.0045,841,0.0039,7612,0.0048,1760,0.0042,3115,0.0041,17545,0.0229,
23,0.0029,1058,0.0026,282,0.0059,1000,0.0019,1103,0.0039,2281,0.0046,291,0.0038,3852,0.0048,3613,0.0044,2162,0.0039,39,0.0045,3580,0.0042,1900,0.0038,3955,0.0115,
521,0.0027,309,0.0026,100,0.0055,3185,0.0019,14,0.0037,332,0.0041,13111,0.0034,379,0.0045,2522,0.0042,2428,0.0038,141,0.0045,984,0.0040,3270,0.0038,5287,0.0065,
203,0.0027,341,0.0025,149,0.0055,183,0.0019,5815,0.0037,379,0.0041,521,0.0029,2381,0.0044,101,0.0041,313,0.0036,660,0.0045,2721,0.0040,5804,0.0038,1017,0.0061,
290,0.0027,2066,0.0025,245,0.0055,277,0.0019,270,0.0036,1103,0.0041,448,0.0029,156,0.0043,386,0.0041,10,0.0035,8072,0.0045,3822,0.0040,8396,0.0038,11212,0.0061,
841,0.0027,2833,0.0024,298,0.0055,508,0.0018,1169,0.0036,1848,0.0041,2942,0.0028,2557,0.0041,258,0.0037,2499,0.0035,175,0.0043,4296,0.0040,9795,0.0038,1663,0.0046,
862,0.0027,182,0.0023,14,0.0052,862,0.0018,209,0.0034,3571,0.0041,661,0.0027,4800,0.0040,313,0.0037,309,0.0034,573,0.0043,1305,0.0037,10028,0.0038,338,0.0042,
2449,0.0027,10,0.0023,226,0.0052,2656,0.0018,563,0.0034,8288,0.0041,81,0.0025,1052,0.0038,353,0.0036,555,0.0033,16358,0.0043,175,0.0035,179,0.0036,1430,0.0042,
109,0.0026,591,0.0023,12,0.0049,453,0.0018,3870,0.0034,14059,0.0041,311,0.0025,182,0.0034,343,0.0034,982,0.0033,8736,0.0041,183,0.0035,1000,0.0036,11207,0.0042,
84,0.0024,862,0.0023,259,0.0049,633,0.0018,1663,0.0032,14220,0.0041,372,0.0025,175,0.0033,1103,0.0034,2449,0.0032,115,0.0038,1077,0.0035,2746,0.0036,13567,0.0042,
15066,0.0024,515,0.0022,2282,0.0045,1553,0.0018,2889,0.0032,10,0.0035,387,0.0024,282,0.0030,1215,0.0034,1942,0.0031,183,0.0038,1557,0.0035,9144,0.0036,5140,0.0038,
183,0.0023,1103,0.0022,10035,0.0045,5394,0.0018,11627,0.0032,203,0.0035,453,0.0023,311,0.0029,309,0.0032,218,0.0030,560,0.0038,3358,0.0035,437,0.0033,1428,0.0031,
339,0.0023,841,0.0022,27,0.0042,800,0.0017,175,0.0031,296,0.0035,172,0.0022,535,0.0029,371,0.0032,601,0.0029,576,0.0038,5749,0.0035,1426,0.0033,4130,0.0031,
800,0.0023,2544,0.0022,51,0.0042,1103,0.0017,1860,0.0031,305,0.0035,222,0.0022,876,0.0029,2204,0.0032,118,0.0028,796,0.0038,17,0.0032,1911,0.0033,5696,0.0031,
2032,0.0023,118,0.0022,176,0.0042,3515,0.0017,124,0.0029,362,0.0035,175,0.0022,3236,0.0029,3350,0.0032,474,0.0028,81,0.0036,2002,0.0032,2942,0.0033,1400,0.0027,
2833,0.0023,353,0.0022,254,0.0042,398,0.0017,353,0.0029,386,0.0035,919,0.0020,1875,0.0028,7906,0.0032,612,0.0028,84,0.0036,2286,0.0032,482,0.0031,1889,0.0027,
1404,0.0022,270,0.0021,91,0.0038,345,0.0016,461,0.0029,414,0.0035,258,0.0020,209,0.0027,1247,0.0031,3129,0.0028,129,0.0036,2444,0.0032,862,0.0031,9394,0.0023,
2391,0.0022,633,0.0021,129,0.0038,372,0.0016,1077,0.0029,699,0.0035,188,0.0019,1699,0.0027,3377,0.0031,101,0.0028,538,0.0036,4745,0.0032,2295,0.0031,10559,0.0023,
535,0.0022,708,0.0020,291,0.0038,101,0.0016,3121,0.0029,1265,0.0035,8274,0.0018,9669,0.0027,4242,0.0031,305,0.0028,2182,0.0036,5641,0.0032,5563,0.0031,7197,0.0019,
555,0.0022,6491,0.0020,919,0.0038,309,0.0016,3838,0.0029,1880,0.0035,4894,0.0018,3851,0.0026,12154,0.0031,182,0.0026,3772,0.0036,29,0.0030,9530,0.0031,8914,0.0019,
175,0.0021,1911,0.0020,2279,0.0038,3129,0.0016,12233,0.0029,2499,0.0035,812,0.0017,87,0.0025,81,0.0029,482,0.0026,69,0.0033,919,0.0030,17,0.0029,9045,0.0019,
515,0.0021,14,0.0020,5061,0.0038,291,0.0016,14547,0.0029,3447,0.0035,3284,0.0017,359,0.0025,320,0.0029,553,0.0026,276,0.0033,1180,0.0030,1237,0.0029,11141,0.0019,
1449,0.0021,339,0.0020,1,0.0035,900,0.0016,862,0.0027,4845,0.0035,9255,0.0017,591,0.0025,1853,0.0029,1796,0.0026,561,0.0033,1867,0.0030,3548,0.0029,11787,0.0019,
1571,0.0021,535,0.0019,47,0.0035,1326,0.0016,982,0.0027,6037,0.0035,5960,0.0017,1900,0.0025,2493,0.0029,848,0.0025,2398,0.0033,8091,0.0030,6986,0.0029,1219,0.0015,
