1 (D=148),0.0878,2 (D=519),0.3265,3 (D=12),0.0133,4 (D=126),0.1376,5 (D=50),0.0301,6 (D=17),0.0089,7 (D=163),0.1608,8 (D=83),0.0470,9 (D=63),0.0304,10 (D=251),0.0839,11 (D=36),0.0208,12 (D=37),0.0196,13 (D=60),0.0203,14 (D=22),0.0129,
209,0.0040,1016,0.0033,263,0.0074,1394,0.0026,1845,0.0061,380,0.0050,2263,0.0086,352,0.0073,8585,0.0063,585,0.0059,894,0.0057,14921,0.0068,1831,0.0046,392,0.0230,
1911,0.0040,2524,0.0033,193,0.0070,21,0.0025,2175,0.0059,1931,0.0050,3010,0.0085,1049,0.0071,2485,0.0062,2557,0.0057,7215,0.0057,311,0.0063,1853,0.0046,1061,0.0230,
309,0.0039,1553,0.0031,295,0.0070,84,0.0025,14639,0.0057,109,0.0044,4052,0.0084,344,0.0069,90,0.0060,631,0.0052,1001,0.0054,309,0.0060,3220,0.0046,1798,0.0230,
670,0.0039,344,0.0031,87,0.0067,2320,0.0025,1237,0.0054,461,0.0044,18428,0.0084,324,0.0067,2895,0.0058,203,0.0051,2655,0.0054,679,0.0055,3568,0.0046,3156,0.0230,
7748,0.0037,343,0.0031,90,0.0067,841,0.0025,291,0.0047,874,0.0044,1483,0.0084,402,0.0067,315,0.0055,402,0.0051,115,0.0052,5278,0.0050,344,0.0041,4153,0.0230,
343,0.0035,324,0.0031,101,0.0067,311,0.0023,2348,0.0046,945,0.0044,5129,0.0083,461,0.0065,2888,0.0052,252,0.0048,53,0.0050,158,0.0048,3639,0.0041,4532,0.0230,
3602,0.0034,371,0.0031,272,0.0067,102,0.0021,1001,0.0044,995,0.0044,5173,0.0083,3860,0.0063,344,0.0050,2066,0.0047,899,0.0050,1178,0.0048,537,0.0039,5654,0.0230,
203,0.0031,318,0.0030,291,0.0067,475,0.0021,2833,0.0044,1198,0.0044,819,0.0083,618,0.0062,127,0.0047,343,0.0043,1575,0.0050,387,0.0045,2746,0.0039,8667,0.0230,
1265,0.0031,3453,0.0029,301,0.0067,2803,0.0021,534,0.0043,1380,0.0044,182,0.0061,10,0.0056,311,0.0047,692,0.0040,129,0.0047,1760,0.0045,3115,0.0039,10660,0.0230,
635,0.0031,121,0.0029,46,0.0063,223,0.0021,14,0.0041,1699,0.0044,76,0.0051,3871,0.0056,518,0.0045,841,0.0039,606,0.0047,984,0.0043,5804,0.0039,14332,0.0230,
1016,0.0031,1058,0.0026,55,0.0063,3630,0.0020,1103,0.0039,1830,0.0044,874,0.0044,101,0.0053,2832,0.0044,2162,0.0039,6789,0.0047,3580,0.0043,9795,0.0039,17545,0.0230,
23,0.0029,341,0.0026,81,0.0063,1103,0.0019,3167,0.0039,2281,0.0044,291,0.0038,1052,0.0049,3613,0.0044,10,0.0039,7612,0.0047,3822,0.0043,1426,0.0036,3955,0.0103,
379,0.0029,387,0.0025,100,0.0059,2656,0.0019,5815,0.0038,2670,0.0044,13111,0.0034,2557,0.0049,258,0.0041,313,0.0039,39,0.0045,4106,0.0043,3270,0.0036,5287,0.0069,
862,0.0028,2066,0.0024,149,0.0059,277,0.0019,209,0.0036,8288,0.0044,521,0.0031,3852,0.0048,343,0.0039,2428,0.0038,311,0.0045,17,0.0040,9144,0.0036,1017,0.0061,
841,0.0027,515,0.0024,245,0.0059,1000,0.0019,270,0.0036,16520,0.0044,448,0.0029,379,0.0044,386,0.0039,1052,0.0038,660,0.0045,1049,0.0040,8396,0.0034,11212,0.0061,
290,0.0027,182,0.0024,298,0.0059,3185,0.0019,563,0.0036,306,0.0039,2942,0.0028,156,0.0043,101,0.0037,944,0.0035,8072,0.0045,2721,0.0040,179,0.0031,1663,0.0050,
109,0.0026,309,0.0024,881,0.0059,309,0.0019,1169,0.0036,332,0.0039,81,0.0027,2381,0.0043,2522,0.0037,2499,0.0033,141,0.0043,4296,0.0040,437,0.0031,11207,0.0042,
800,0.0026,2833,0.0024,14,0.0056,862,0.0019,175,0.0033,362,0.0039,661,0.0026,4800,0.0039,313,0.0036,982,0.0032,573,0.0043,1557,0.0038,800,0.0031,13567,0.0042,
521,0.0025,10,0.0023,226,0.0056,508,0.0018,290,0.0033,366,0.0039,387,0.0025,535,0.0031,118,0.0032,3129,0.0032,3772,0.0043,175,0.0035,1900,0.0031,338,0.0038,
2449,0.0025,591,0.0023,12,0.0052,633,0.0018,11627,0.0033,386,0.0039,172,0.0025,876,0.0031,309,0.0032,2449,0.0031,16358,0.0043,183,0.0035,1911,0.0031,5140,0.0038,
15066,0.0024,862,0.0022,259,0.0052,183,0.0018,121,0.0031,994,0.0039,453,0.0024,175,0.0030,1103,0.0032,118,0.0030,183,0.0040,1305,0.0035,2942,0.0031,1428,0.0031,
84,0.0024,353,0.0022,282,0.0052,5394,0.0018,124,0.0031,1026,0.0039,372,0.0024,282,0.0030,1215,0.0032,309,0.0030,576,0.0040,5749,0.0035,17,0.0029,4130,0.0031,
175,0.0024,2544,0.0022,2282,0.0048,158,0.0017,982,0.0031,2320,0.0039,222,0.0024,311,0.0030,2204,0.0032,1942,0.0030,3452,0.0040,455,0.0033,23,0.0029,5696,0.0031,
2833,0.0024,841,0.0022,10035,0.0048,345,0.0017,1663,0.0031,3571,0.0039,175,0.0021,1699,0.0030,3377,0.0032,218,0.0029,560,0.0038,2002,0.0033,474,0.0029,1400,0.0027,
2032,0.0023,1103,0.0021,27,0.0045,372,0.0017,1860,0.0031,6037,0.0039,311,0.0021,3236,0.0029,339,0.0031,101,0.0028,3414,0.0038,2286,0.0033,2295,0.0029,1889,0.0027,
339,0.0022,633,0.0021,51,0.0045,387,0.0017,353,0.0029,14059,0.0039,919,0.0021,1875,0.0028,353,0.0031,555,0.0028,8736,0.0038,4745,0.0033,2320,0.0029,9394,0.0023,
2391,0.0022,118,0.0020,176,0.0045,1553,0.0017,515,0.0029,14220,0.0039,258,0.0020,1900,0.0028,520,0.0031,612,0.0028,569,0.0035,5641,0.0033,2487,0.0029,10559,0.0023,
183,0.0022,270,0.0020,254,0.0045,3515,0.0017,1077,0.0029,296,0.0033,188,0.0019,9669,0.0027,944,0.0031,182,0.0028,2182,0.0035,31,0.0030,3055,0.0029,910,0.0019,
1404,0.0022,6491,0.0020,91,0.0041,398,0.0017,3121,0.0029,305,0.0033,4894,0.0018,182,0.0026,1247,0.0031,601,0.0026,69,0.0033,209,0.0030,3134,0.0029,7197,0.0019,
535,0.0021,1911,0.0020,919,0.0041,800,0.0017,3870,0.0029,348,0.0033,8274,0.0018,591,0.0026,3350,0.0031,1796,0.0026,172,0.0033,345,0.0030,3548,0.0029,8914,0.0019,
1449,0.0021,555,0.0020,2279,0.0041,101,0.0016,14547,0.0029,390,0.0033,23,0.0017,209,0.0025,4242,0.0031,305,0.0026,276,0.0033,1077,0.0030,6986,0.0029,9045,0.0019,
1571,0.0021,708,0.0020,5061,0.0041,1326,0.0016,461,0.0028,1001,0.0033,812,0.0017,3271,0.0025,12154,0.0031,129,0.0025,561,0.0033,1180,0.0030,7980,0.0029,11141,0.0019,
129,0.0021,339,0.0019,1,0.0037,453,0.0015,9834,0.0028,1848,0.0033,3284,0.0017,3542,0.0025,81,0.0029,1076,0.0025,81,0.0031,2444,0.0030,10314,0.0029,11787,0.0019,
515,0.0021,374,0.0019,47,0.0037,10,0.0015,1660,0.0026,2238,0.0033,9255,0.0017,3851,0.0025,320,0.0029,591,0.0025,98,0.0031,8091,0.0030,303,0.0027,1219,0.0015,
