1 (D=148),0.0878,2 (D=519),0.3260,3 (D=12),0.0141,4 (D=126),0.1377,5 (D=50),0.0307,6 (D=17),0.0085,7 (D=163),0.1603,8 (D=83),0.0467,9 (D=63),0.0301,10 (D=251),0.0840,11 (D=36),0.0209,12 (D=37),0.0198,13 (D=60),0.0207,14 (D=22),0.0128,
311,0.0042,16673,0.0036,267,0.0070,209,0.0029,3587,0.0074,485,0.0058,1477,0.0087,3608,0.0088,10,0.0073,311,0.0065,53,0.0059,172,0.0067,1394,0.0050,3515,0.0235,
1911,0.0040,1016,0.0035,10,0.0066,2266,0.0027,12736,0.0067,2313,0.0058,2398,0.0087,3867,0.0081,300,0.0070,2644,0.0060,2031,0.0059,277,0.0067,3568,0.0050,9824,0.0235,
309,0.0039,2524,0.0033,193,0.0066,1394,0.0026,2175,0.0059,16520,0.0058,2263,0.0086,352,0.0073,8585,0.0064,585,0.0056,4184,0.0059,14921,0.0067,7820,0.0050,392,0.0231,
670,0.0039,1553,0.0032,223,0.0066,2320,0.0025,14639,0.0056,109,0.0052,3010,0.0085,1049,0.0073,2485,0.0062,203,0.0055,894,0.0056,84,0.0065,1853,0.0048,1061,0.0231,
121,0.0038,101,0.0032,295,0.0066,21,0.0024,1845,0.0054,461,0.0052,4052,0.0084,324,0.0068,90,0.0060,631,0.0053,2069,0.0056,679,0.0057,537,0.0045,1798,0.0231,
209,0.0038,344,0.0032,87,0.0063,84,0.0022,291,0.0053,878,0.0052,18428,0.0084,461,0.0068,315,0.0055,2557,0.0053,7215,0.0056,5278,0.0052,3639,0.0045,3156,0.0231,
343,0.0037,343,0.0031,90,0.0063,102,0.0021,1237,0.0053,1830,0.0052,1483,0.0084,402,0.0065,2888,0.0052,402,0.0046,1001,0.0054,158,0.0047,1831,0.0043,4153,0.0231,
7748,0.0037,324,0.0030,101,0.0063,311,0.0021,534,0.0050,1931,0.0052,5129,0.0084,618,0.0063,2832,0.0049,2066,0.0045,2655,0.0054,387,0.0047,3220,0.0043,4532,0.0231,
3602,0.0034,371,0.0030,272,0.0063,223,0.0021,2348,0.0045,332,0.0046,5173,0.0084,3860,0.0063,127,0.0047,1052,0.0045,899,0.0052,1178,0.0047,474,0.0040,8667,0.0231,
1265,0.0032,318,0.0030,301,0.0063,475,0.0021,2833,0.0045,362,0.0046,819,0.0083,344,0.0059,311,0.0047,252,0.0044,606,0.0049,1077,0.0045,3270,0.0040,10660,0.0231,
1016,0.0031,3453,0.0030,46,0.0059,2803,0.0021,1001,0.0043,945,0.0046,182,0.0062,3871,0.0057,2895,0.0047,343,0.0044,3213,0.0049,1760,0.0045,121,0.0038,14332,0.0231,
379,0.0029,121,0.0029,55,0.0059,841,0.0021,515,0.0040,1198,0.0046,76,0.0050,10,0.0054,344,0.0046,692,0.0043,1575,0.0047,4106,0.0045,2514,0.0038,17545,0.0231,
23,0.0029,1058,0.0026,81,0.0059,3630,0.0020,14,0.0038,1380,0.0046,874,0.0044,101,0.0054,518,0.0046,2162,0.0039,6789,0.0047,175,0.0042,2746,0.0038,5654,0.0227,
862,0.0029,341,0.0026,100,0.0056,101,0.0020,3167,0.0038,8288,0.0046,291,0.0041,1052,0.0049,386,0.0044,2428,0.0037,115,0.0045,309,0.0042,3115,0.0038,3955,0.0112,
635,0.0027,309,0.0026,149,0.0056,309,0.0019,209,0.0037,65,0.0040,13111,0.0034,3852,0.0048,3613,0.0044,841,0.0037,141,0.0045,311,0.0042,5804,0.0038,5287,0.0066,
290,0.0026,2066,0.0025,245,0.0056,800,0.0019,290,0.0037,203,0.0040,521,0.0029,379,0.0045,101,0.0041,10,0.0035,660,0.0045,984,0.0042,9795,0.0038,11212,0.0062,
800,0.0026,387,0.0025,282,0.0056,1000,0.0019,1103,0.0037,386,0.0040,2942,0.0028,2381,0.0043,258,0.0041,3129,0.0034,7612,0.0045,1049,0.0042,10028,0.0038,1017,0.0058,
109,0.0026,841,0.0024,298,0.0056,633,0.0019,175,0.0035,934,0.0040,448,0.0027,156,0.0042,2522,0.0041,313,0.0033,8072,0.0045,3580,0.0042,437,0.0036,1663,0.0050,
203,0.0026,862,0.0024,226,0.0052,2656,0.0019,270,0.0035,1469,0.0040,661,0.0026,4800,0.0040,309,0.0036,2449,0.0033,39,0.0042,3822,0.0042,862,0.0036,11207,0.0042,
841,0.0026,10,0.0024,12,0.0049,3185,0.0019,563,0.0035,2281,0.0040,81,0.0025,2557,0.0036,343,0.0036,218,0.0030,573,0.0042,4296,0.0040,2942,0.0036,13567,0.0042,
2449,0.0025,2833,0.0023,14,0.0049,277,0.0019,1169,0.0035,2499,0.0040,387,0.0025,311,0.0034,1103,0.0034,555,0.0030,16358,0.0042,182,0.0037,8396,0.0036,5140,0.0039,
84,0.0024,591,0.0023,259,0.0049,183,0.0018,982,0.0034,3571,0.0040,372,0.0023,175,0.0032,7906,0.0034,1942,0.0030,183,0.0040,515,0.0037,9144,0.0036,338,0.0035,
15066,0.0024,1103,0.0022,2282,0.0045,508,0.0018,2499,0.0034,6037,0.0040,222,0.0023,282,0.0031,1215,0.0033,118,0.0029,576,0.0040,1557,0.0037,303,0.0033,1428,0.0031,
175,0.0023,182,0.0022,10035,0.0045,862,0.0018,3870,0.0034,14059,0.0040,453,0.0023,876,0.0031,2204,0.0033,601,0.0029,8736,0.0040,3033,0.0037,1900,0.0033,4130,0.0031,
339,0.0023,2544,0.0022,27,0.0042,1553,0.0018,5815,0.0034,14220,0.0040,172,0.0022,1900,0.0031,3350,0.0033,944,0.0029,560,0.0038,5749,0.0035,1911,0.0033,5696,0.0031,
2032,0.0023,353,0.0022,51,0.0042,372,0.0018,11627,0.0032,10,0.0035,175,0.0022,535,0.0029,3377,0.0033,2320,0.0029,796,0.0038,101,0.0032,17,0.0031,1400,0.0027,
2833,0.0023,515,0.0022,176,0.0042,453,0.0018,124,0.0030,187,0.0035,311,0.0022,209,0.0028,4242,0.0033,612,0.0028,84,0.0035,1305,0.0032,179,0.0031,1889,0.0023,
521,0.0022,633,0.0022,254,0.0042,1103,0.0018,461,0.0030,296,0.0035,258,0.0021,1699,0.0028,118,0.0031,101,0.0027,841,0.0035,1867,0.0032,2295,0.0031,10559,0.0023,
1404,0.0022,270,0.0021,91,0.0038,5394,0.0018,1663,0.0030,348,0.0035,188,0.0020,1875,0.0028,520,0.0031,305,0.0027,69,0.0033,2002,0.0032,9530,0.0031,7197,0.0019,
2391,0.0022,118,0.0021,118,0.0038,345,0.0017,1860,0.0030,402,0.0035,919,0.0020,3236,0.0028,1247,0.0031,4513,0.0027,172,0.0033,2286,0.0032,65,0.0029,8914,0.0019,
183,0.0022,708,0.0020,919,0.0038,398,0.0017,353,0.0029,414,0.0035,4894,0.0019,9669,0.0027,12154,0.0031,982,0.0026,175,0.0033,2450,0.0032,182,0.0029,9045,0.0019,
535,0.0022,6491,0.0020,2279,0.0038,3515,0.0017,1077,0.0029,699,0.0035,8274,0.0018,3851,0.0026,121,0.0029,1076,0.0026,264,0.0033,2721,0.0032,1426,0.0029,11141,0.0019,
1139,0.0022,14,0.0019,5061,0.0038,1326,0.0016,1543,0.0029,1001,0.0035,812,0.0018,87,0.0025,320,0.0029,309,0.0026,276,0.0033,4694,0.0032,5563,0.0029,11787,0.0019,
129,0.0021,1911,0.0019,1,0.0035,387,0.0016,3121,0.0029,1103,0.0035,3284,0.0017,359,0.0025,353,0.0029,474,0.0026,538,0.0033,4745,0.0032,6986,0.0029,910,0.0015,
1449,0.0021,1000,0.0019,47,0.0035,158,0.0015,3838,0.0029,2238,0.0035,9255,0.0017,3271,0.0025,371,0.0029,1796,0.0026,561,0.0033,5641,0.0032,7980,0.0029,1219,0.0015,
1571,0.0021,535,0.0019,61,0.0035,291,0.0015,14547,0.0029,2320,0.0035,5960,0.0017,3542,0.0025,2493,0.0029,453,0.0025,652,0.0033,183,0.0030,10314,0.0029,1694,0.0015,
